Method,Total Cost,Fidelity,Leakage,Runtime (ns)
Adam,0.38063865817222853,0.9820504068885064,0.00036702764098077466,60.0
Nominal TRPO,0.29820038449467157,0.9941508785718656,0.0015994941234007281,116.0
