alpha,gamma,best_cost,best_fidelity,best_leakage,runtime_ns,best_horizon_ns,control_plan,robustness_path,robustness_sigma_1p0_average_fidelity,robustness_sigma_1p0_average_gate_fidelity,robustness_sigma_1p0_fidelity_variance
1.9,1.5707963267948966,0.6337337773765017,0.9521946748493456,0.0002713097711599,40.0,40.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.900000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_1.900000\robustness\best_robustness.json,0.949951641445616,0.93743955180702,0.0002813175475155
2.0,1.5707963267948966,0.3939084941369277,0.9790817356378512,0.0002859013316736,50.0,50.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.000000\robustness\best_robustness.json,0.9701809086664718,0.9627261358330896,0.0002077078410293
2.1,1.5707963267948966,0.1711289123177455,0.9951681752628172,0.0003388152044782,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.100000\robustness\best_robustness.json,0.9778313309833644,0.9722891637292056,0.0001043929647133
2.2,1.5707963267948966,0.3806386581722285,0.9820504068885064,0.0003670276409807,60.0,60.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.200000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.200000\robustness\best_robustness.json,0.9666892757240992,0.9583615946551236,0.0001734743225366
2.3,1.5707963267948966,0.1762360963091385,0.9950918508387344,0.0003381981622569,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.300000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.300000\robustness\best_robustness.json,0.978536063759606,0.9731700796995072,7.845020523175e-05
2.4,1.5707963267948966,0.2936561190851306,0.9872288234772402,0.0003925874826631,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.400000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.400000\robustness\best_robustness.json,0.9703673224137304,0.9629591530171632,0.0001760830634998
2.5,1.5707963267948966,0.5850607156613108,0.9686396622359276,0.0005426181455168,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.500000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.500000\robustness\best_robustness.json,0.9568071974870946,0.946008996858868,0.0003657658853945
2.6,1.5707963267948966,0.2162717543806572,0.9937653592218908,0.0005315145148048,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.600000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.600000\robustness\best_robustness.json,0.9700240760266564,0.9625300950333204,0.0001585605800593
2.7,1.5707963267948966,0.2320977172792849,0.9923712902628749,0.0006954849180266,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.700000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.700000\robustness\best_robustness.json,0.96951078452695,0.9618884806586874,0.0001113874577616
2.8,1.5707963267948966,0.2417576402732884,0.991771870801588,0.0007421927864714,80.0,80.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.800000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.800000\robustness\best_robustness.json,0.9717399685177412,0.9646749606471764,0.0001343661391626
2.9,1.5707963267948966,0.5237390257930886,0.9637631571914358,0.001085725538502,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.900000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_2.900000\robustness\best_robustness.json,0.9524640803373812,0.940580100421726,0.0002658242255765
3.0,1.5707963267948966,0.4648945966763622,0.9691136099286772,0.0009712947736241,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.000000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.000000\robustness\best_robustness.json,0.9570405747698812,0.9463007184623514,0.0001744766632455
3.1,1.5707963267948966,0.7287795796909186,0.9399607934285176,0.0004621518942719,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.100000\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.100000\robustness\best_robustness.json,0.9377015729985916,0.9221269662482396,0.0003411778857803
3.141592653589793,1.5707963267948966,0.7295709991027427,0.9398910036952078,0.0004629765286343,70.0,70.0,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.141593\best_control_plan.npz,runs/adam_runtime_sweep\gamma_1.570796\alpha_3.141593\robustness\best_robustness.json,0.9355803259121396,0.9194754073901744,0.0004092586001066
