mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns
trpo,a-2p2_9f9fdee6,2,runs\cost_function_sweep\trpo\a-2p2_9f9fdee6\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.2,64-32-32,0.7820991695215509,0.7820991695215509,0.9680547295644764,0.000248744518601014,180.0
trpo,a-2p2_131be558,1,runs\cost_function_sweep\trpo\a-2p2_131be558\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.4,64-32-32,1.3752533664446738,1.3752533664446738,0.9678814747571293,0.0003899055177893444,180.0
trpo,a-2p2_131be558,2,runs\cost_function_sweep\trpo\a-2p2_131be558\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.4,64-32-32,1.373957552440722,1.373957552440722,0.9687963855895787,0.00025353176128880894,180.0
trpo,a-2p2_282ae2d7,1,runs\cost_function_sweep\trpo\a-2p2_282ae2d7\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.05,64-32-32,0.46495096058620666,0.46495096058620666,0.9706765548742753,0.0005197095998618024,180.0
trpo,a-2p2_282ae2d7,2,runs\cost_function_sweep\trpo\a-2p2_282ae2d7\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.05,64-32-32,0.2284765447019556,0.2284765447019556,0.9957458279837476,0.000211103379543517,180.0
trpo,a-2p2_44e29666,1,runs\cost_function_sweep\trpo\a-2p2_44e29666\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.1,64-32-32,0.39476521578880985,0.39476521578880985,0.9953637769507738,0.00028716747597248604,180.0
trpo,a-2p2_44e29666,2,runs\cost_function_sweep\trpo\a-2p2_44e29666\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.1,64-32-32,0.37883085008383344,0.37883085008383344,0.9957348794691493,0.000211636101722275,180.0
trpo,a-2p2_bee7464c,1,runs\cost_function_sweep\trpo\a-2p2_bee7464c\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.2,64-32-32,0.6940102647387553,0.6940102647387553,0.9954746495104989,0.0002873303505389877,180.0
trpo,a-2p2_bee7464c,2,runs\cost_function_sweep\trpo\a-2p2_bee7464c\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.2,64-32-32,0.6795305161415571,0.6795305161415571,0.9957141587355232,0.0002126774555143405,180.0
trpo,a-2p2_bbeef4df,1,runs\cost_function_sweep\trpo\a-2p2_bbeef4df\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.4,64-32-32,1.2926343121379489,1.2926343121379489,0.9956847282876754,0.0002876665472804002,180.0
trpo,a-2p2_bbeef4df,2,runs\cost_function_sweep\trpo\a-2p2_bbeef4df\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.4,64-32-32,1.2809330468713318,1.2809330468713318,0.9956731521488317,0.0002147303845260222,180.0
trpo,a-2p2_54944bbb,1,runs\cost_function_sweep\trpo\a-2p2_54944bbb\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.05,64-32-32,0.5236973072084651,0.5236973072084651,0.9648936642722027,0.0002809422290314479,180.0
trpo,a-2p2_54944bbb,2,runs\cost_function_sweep\trpo\a-2p2_54944bbb\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.05,64-32-32,0.5519195787978047,0.5519195787978047,0.9629032671909664,0.00020749360491191616,180.0
trpo,a-2p2_67401cca,1,runs\cost_function_sweep\trpo\a-2p2_67401cca\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.1,64-32-32,0.6754052943665858,0.6754052943665858,0.9647592606132246,0.0002809681045534559,180.0
trpo,a-2p2_67401cca,2,runs\cost_function_sweep\trpo\a-2p2_67401cca\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.1,64-32-32,0.700336026452218,0.700336026452218,0.9629900984379632,0.0002077613112993648,180.0
trpo,a-2p2_444b5f60,1,runs\cost_function_sweep\trpo\a-2p2_444b5f60\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.2,64-32-32,0.9788891258252501,0.9788891258252501,0.9644847065968891,0.00028102289342501184,180.0
trpo,a-2p2_444b5f60,2,runs\cost_function_sweep\trpo\a-2p2_444b5f60\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.2,64-32-32,0.9972669354007652,0.9972669354007652,0.9631581153544471,0.0002083152715246352,180.0
trpo,a-2p2_96d05b98,1,runs\cost_function_sweep\trpo\a-2p2_96d05b98\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.4,64-32-32,1.5860566892969026,1.5860566892969026,0.9639203296489696,0.00028115693661446336,180.0
trpo,a-2p2_96d05b98,2,runs\cost_function_sweep\trpo\a-2p2_96d05b98\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.4,64-32-32,1.5915007147949347,1.5915007147949347,0.9634740268273515,0.00020946233962074122,180.0
trpo,a-2p2_8c31322a,1,runs\cost_function_sweep\trpo\a-2p2_8c31322a\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.05,64-32-32,0.18114998397199236,0.18114998397199236,0.9976834949289495,0.00039651271321409294,180.0
trpo,a-2p2_8c31322a,2,runs\cost_function_sweep\trpo\a-2p2_8c31322a\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.05,64-32-32,0.22522440193953455,0.22522440193953455,0.9934490743667953,0.00024976932719214333,180.0
trpo,a-2p2_470b266b,1,runs\cost_function_sweep\trpo\a-2p2_470b266b\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,0.33138914608321607,0.33138914608321607,0.9976687875972363,0.00039662744678834545,180.0
trpo,a-2p2_470b266b,2,runs\cost_function_sweep\trpo\a-2p2_470b266b\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,0.3751636628770477,0.3751636628770477,0.9934474906997544,0.00025012018649205183,180.0
trpo,a-2p2_f4ba3980,1,runs\cost_function_sweep\trpo\a-2p2_f4ba3980\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.2,64-32-32,0.6318787323378792,0.6318787323378792,0.9976397234551148,0.0003968373010843897,180.0
trpo,a-2p2_f4ba3980,2,runs\cost_function_sweep\trpo\a-2p2_f4ba3980\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.2,64-32-32,0.6750547579913386,0.6750547579913386,0.9934450471306634,0.00025081645895523157,180.0
trpo,a-2p2_de827d73,1,runs\cost_function_sweep\trpo\a-2p2_de827d73\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.4,64-32-32,1.2329206017455832,1.2329206017455832,0.9975814244840935,0.00039719982345186186,180.0
