alpha,avg_boundary_cost,avg_cost,avg_fidelity,avg_leakage,avg_min_cost,avg_min_cost_time_ns,avg_time_cost,avg_time_ns,checkpoint_path,eval_cost,eval_fidelity,eval_leakage,eval_min_cost,eval_min_cost_time_ns,eval_plan_path,eval_time_ns,gamma,num_workers,phase_iter,robustness,robustness_path,robustness_sigma_1p0_average_fidelity,robustness_sigma_1p0_average_gate_fidelity,robustness_sigma_1p0_fidelity_variance,update_kl,update_policy_loss,update_updated,update_value_loss
0.0,0.9706146495970678,17.696225570819102,0.0504948506448862,0.6930559427670895,10.004372717042758,2.0656,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000011.pt,10.274963858867386,0.006137075277832581,0.0006502629443264117,10.003336260981508,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000011_control_plan.npz,180.0,1.5707963267948966,8,11,"{'sigma_1p0': {'average_fidelity': 0.20517939376051847, 'average_gate_fidelity': 0.006474242200648033, 'fidelity_variance': 1.6040432363942387e-05, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000011_robustness.json,0.20517939376051847,0.006474242200648033,1.6040432363942387e-05,0.006080225575715303,1.5977647649378923e-07,1.0,301169.65625
0.0,0.9590963014126787,17.734497337287877,0.045362128885018935,0.6929022324725386,10.004848400683686,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000012.pt,10.267499382421812,0.01033292815636913,0.0007694989898832133,10.00333729912518,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000012_control_plan.npz,180.0,1.5707963267948966,8,12,"{'sigma_1p0': {'average_fidelity': 0.20764337968793112, 'average_gate_fidelity': 0.00955422460991389, 'fidelity_variance': 2.388556708483127e-05, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000012_robustness.json,0.20764337968793112,0.00955422460991389,2.388556708483127e-05,0.006215380970388651,-6.483289638481438e-08,1.0,299886.3125
0.0,0.933259021119347,17.67881617220083,0.047846825782412665,0.6924025408905609,10.00481569406957,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000013.pt,10.203310497086116,0.013668961718494396,0.0007224981979213377,10.003336858469575,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000013_control_plan.npz,180.0,1.5707963267948966,8,13,"{'sigma_1p0': {'average_fidelity': 0.21029108431447074, 'average_gate_fidelity': 0.01286385539308844, 'fidelity_variance': 6.597666632310503e-05, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000013_robustness.json,0.21029108431447074,0.01286385539308844,6.597666632310503e-05,0.006031843367964029,-6.890191173170024e-08,1.0,297404.90625
0.0,0.9433245505378156,17.635754884494293,0.053428844803075415,0.6926718781987232,10.00481543945294,2.0,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000014.pt,10.180227121876204,0.018197466672534038,0.0009432734595483322,10.00333494447988,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000014_control_plan.npz,180.0,1.5707963267948966,8,14,"{'sigma_1p0': {'average_fidelity': 0.21387148908380527, 'average_gate_fidelity': 0.017339361354756517, 'fidelity_variance': 8.015209863769071e-05, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000014_robustness.json,0.21387148908380527,0.017339361354756517,8.015209863769071e-05,0.0060659474693238735,3.336588605407087e-08,1.0,294695.5
0.0,0.9153105625700533,17.539721180858766,0.05968440301583783,0.6921254648447089,10.004299728181516,2.128,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000015.pt,10.142852520371953,0.02264913559867213,0.0009490295246562513,10.003336221496022,2.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000015_control_plan.npz,180.0,1.5707963267948966,8,15,"{'sigma_1p0': {'average_fidelity': 0.21772593954264582, 'average_gate_fidelity': 0.022157424428307326, 'fidelity_variance': 0.00011100800976865503, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000015_robustness.json,0.21772593954264582,0.022157424428307326,0.00011100800976865503,0.0060697514563798904,-2.2108289954303473e-07,1.0,292566.28125
0.0,0.9154932133934081,17.446884691777093,0.06988682906328006,0.6930259769016484,10.004359221621314,2.1688,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000016.pt,9.665599803337413,0.06974794501647807,0.0009686138455508636,9.665599803337413,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000016_control_plan.npz,180.0,1.5707963267948966,8,16,"{'sigma_1p0': {'average_fidelity': 0.2548074793205803, 'average_gate_fidelity': 0.06850934915072544, 'fidelity_variance': 0.0004748843962886861, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000016_robustness.json,0.2548074793205803,0.06850934915072544,0.0004748843962886861,0.0057548838667571545,3.247070310408162e-07,1.0,289994.21875
0.0,0.9738457002838171,17.385999004573748,0.08137653032894314,0.692591860757936,10.003191627099156,2.2572,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000017.pt,9.016781121518878,0.13406058070504975,0.0011234785162062076,9.016781121518878,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000017_control_plan.npz,180.0,1.5707963267948966,8,17,"{'sigma_1p0': {'average_fidelity': 0.3089741547321596, 'average_gate_fidelity': 0.13621769341519946, 'fidelity_variance': 0.0008968450319558803, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000017_robustness.json,0.3089741547321596,0.13621769341519946,0.0008968450319558803,0.006307848263531923,2.0616319318378373e-08,1.0,287863.6875
0.0,0.9272857380267356,17.249247303547616,0.09000632612229946,0.6922024826743874,10.002230194864566,2.4576,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000018.pt,7.583782302881597,0.27840643345909283,0.0013806545474936858,7.583782302881597,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000018_control_plan.npz,180.0,1.5707963267948966,8,18,"{'sigma_1p0': {'average_fidelity': 0.41772453455021186, 'average_gate_fidelity': 0.27215566818776493, 'fidelity_variance': 0.001992024191711901, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000018_robustness.json,0.41772453455021186,0.27215566818776493,0.001992024191711901,0.00610744021832943,-1.3264974541016272e-07,1.0,284470.28125
0.0,0.9315001164419897,17.066587230771063,0.10962738069752563,0.6931360921304328,10.002310631629904,2.6812,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000019.pt,5.996474574766305,0.4363760890380316,0.001341963503678873,5.996474574766305,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000019_control_plan.npz,180.0,1.5707963267948966,8,19,"{'sigma_1p0': {'average_fidelity': 0.5219885766429347, 'average_gate_fidelity': 0.4024857208036685, 'fidelity_variance': 0.002768491258123382, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000019_robustness.json,0.5219885766429347,0.4024857208036685,0.002768491258123382,0.005941056180745363,1.2532552773336647e-07,1.0,280824.9375
0.0,0.9281309425629597,16.922753495438343,0.12305536512892402,0.6925176204164621,9.999436510739388,3.3908,0.3,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\checkpoints\iter_000020.pt,4.665119366497545,0.5694797566295364,0.0015741813946272046,4.665119366497545,180.0,runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\plans\iter_000020_control_plan.npz,180.0,1.5707963267948966,8,20,"{'sigma_1p0': {'average_fidelity': 0.6379135672536372, 'average_gate_fidelity': 0.5473919590670466, 'fidelity_variance': 0.003433883558230888, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs/curriculum_gamma_pi2_alpha_2p2_thr038_test\gamma_1.570796\alpha_0.000000\robustness\iter_000020_robustness.json,0.6379135672536372,0.5473919590670466,0.003433883558230888,0.006144374143332243,-1.4105903289873822e-07,1.0,276847.78125
