alpha,avg_boundary_cost,avg_cost,avg_fidelity,avg_leakage,avg_min_cost,avg_min_cost_time_ns,avg_time_cost,avg_time_ns,checkpoint_path,eval_cost,eval_fidelity,eval_leakage,eval_min_cost,eval_min_cost_time_ns,eval_plan_path,eval_time_ns,gamma,num_workers,phase_iter,robustness,robustness_path,robustness_sigma_1p0_average_fidelity,robustness_sigma_1p0_average_gate_fidelity,robustness_sigma_1p0_fidelity_variance,update_kl,update_policy_loss,update_updated,update_value_loss
1.57,0.0017935558317502185,0.01260899622269512,0.9992597599334123,7.970639173463152e-06,0.01260899622269512,2.0,0.0033333333333333335,2.0,runs\runtime\gamma_1.570796\alpha_1.570000\checkpoints\iter_000001.pt,0.005105113932874882,0.9999988524570608,4.137480443378033e-10,0.005105113932874882,2.0,runs\runtime\gamma_1.570796\alpha_1.570000\plans\iter_000001_control_plan.npz,2.0,1.5707963267948966,8,1,"{'sigma_1p0': {'average_fidelity': 0.9994338597124663, 'average_gate_fidelity': 0.9992923246405829, 'fidelity_variance': 3.244979742190836e-07, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_1.570000\robustness\iter_000001_robustness.json,0.9994338597124663,0.9992923246405829,3.244979742190836e-07,0.0097616296261549,0.0009444403694942594,1.0,75.03973388671875
1.727,0.2039504130857012,10.524341163174794,0.6824736967546974,0.6847998550969401,0.4876204327477506,2.298,0.2971291666666666,178.2775,runs\runtime\gamma_1.570796\alpha_1.727000\checkpoints\iter_000061.pt,0.3935678552546607,0.9861485763420528,0.004701925036006043,0.3935678552546607,124.0,runs\runtime\gamma_1.570796\alpha_1.727000\plans\iter_000061_control_plan.npz,124.0,1.5707963267948966,8,61,"{'sigma_1p0': {'average_fidelity': 0.9575170643879893, 'average_gate_fidelity': 0.9468963304849864, 'fidelity_variance': 0.00045700922438529515, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_1.727000\robustness\iter_000061_robustness.json,0.9575170643879893,0.9468963304849864,0.00045700922438529515,0.009881872683763504,-1.204680621924581e-08,1.0,332.47796630859375
1.884,0.20291728047358223,10.855274001948633,0.6578113298193373,0.6930470019668423,1.804713612244923,2.996,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_1.884000\checkpoints\iter_000020.pt,0.3985695272375076,0.982115635020028,0.0036090759605833488,0.3985695272375076,108.0,runs\runtime\gamma_1.570796\alpha_1.884000\plans\iter_000020_control_plan.npz,108.0,1.5707963267948966,8,20,"{'sigma_1p0': {'average_fidelity': 0.9582386412475883, 'average_gate_fidelity': 0.9477983015594852, 'fidelity_variance': 0.00037948129375322696, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_1.884000\robustness\iter_000020_robustness.json,0.9582386412475883,0.9477983015594852,0.00037948129375322696,0.009863055311143398,-2.1192762822419553e-11,1.0,403.66412353515625
2.041,0.13811967090803845,10.096797434700873,0.7264021285249778,0.6922699049042612,3.6389179719640348,11.889,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_2.041000\checkpoints\iter_000020.pt,0.3956429137572533,0.9824834698074123,0.0036698530180406213,0.3956429137572533,106.0,runs\runtime\gamma_1.570796\alpha_2.041000\plans\iter_000020_control_plan.npz,106.0,1.5707963267948966,8,20,"{'sigma_1p0': {'average_fidelity': 0.9594530526148767, 'average_gate_fidelity': 0.949316315768596, 'fidelity_variance': 0.0003953261354992895, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_2.041000\robustness\iter_000020_robustness.json,0.9594530526148767,0.949316315768596,0.0003953261354992895,0.009885364212095737,-8.900959969082578e-09,1.0,334.2712097167969
2.198,0.1841621529527863,9.542165616073534,0.7874774512536996,0.6932777975657745,4.465416847045262,83.4545,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_2.198000\checkpoints\iter_000017.pt,0.3988142353701466,0.9837424488309141,0.004132757750187989,0.3988142353701466,110.0,runs\runtime\gamma_1.570796\alpha_2.198000\plans\iter_000017_control_plan.npz,110.0,1.5707963267948966,8,17,"{'sigma_1p0': {'average_fidelity': 0.9544780936398983, 'average_gate_fidelity': 0.943097617049873, 'fidelity_variance': 0.00043324130614104704, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_2.198000\robustness\iter_000017_robustness.json,0.9544780936398983,0.943097617049873,0.00043324130614104704,0.009877504780888557,1.1020236945213924e-09,1.0,292.2305603027344
2.355,0.1684784074601413,9.039776380858212,0.8372493826705104,0.6943791800103174,4.712845025462615,90.071,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_2.355000\checkpoints\iter_000019.pt,0.39931542894629746,0.9863368162875256,0.005149193748395799,0.39931542894629746,118.0,runs\runtime\gamma_1.570796\alpha_2.355000\plans\iter_000019_control_plan.npz,118.0,1.5707963267948966,8,19,"{'sigma_1p0': {'average_fidelity': 0.9573307993644058, 'average_gate_fidelity': 0.9466634992055069, 'fidelity_variance': 0.00024861361286296845, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_2.355000\robustness\iter_000019_robustness.json,0.9573307993644058,0.9466634992055069,0.00024861361286296845,0.009791688062250614,5.4253472825394056e-09,1.0,260.06158447265625
2.512,0.15760417567169993,8.389172654981666,0.900684476029323,0.6938413239603195,4.935942390700641,95.269,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_2.512000\checkpoints\iter_000053.pt,0.3990961876273884,0.9918550634743656,0.0062967791254027634,0.3990961876273884,136.0,runs\runtime\gamma_1.570796\alpha_2.512000\plans\iter_000053_control_plan.npz,136.0,1.5707963267948966,8,53,"{'sigma_1p0': {'average_fidelity': 0.9567186794583885, 'average_gate_fidelity': 0.9458983493229854, 'fidelity_variance': 0.00028928915968129946, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_2.512000\robustness\iter_000053_robustness.json,0.9567186794583885,0.9458983493229854,0.00028928915968129946,0.009998864494264126,-8.265176987265477e-09,1.0,215.82400512695312
2.669,0.12523925584870615,8.246199392842525,0.9114712157280216,0.6935672294274036,5.284146004059991,102.8565,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_2.669000\checkpoints\iter_000094.pt,0.39675578143386586,0.9917737847998207,0.00629335536515042,0.39675578143386586,144.0,runs\runtime\gamma_1.570796\alpha_2.669000\plans\iter_000094_control_plan.npz,144.0,1.5707963267948966,8,94,"{'sigma_1p0': {'average_fidelity': 0.9546771236265909, 'average_gate_fidelity': 0.9433464045332386, 'fidelity_variance': 0.00048207752048300346, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_2.669000\robustness\iter_000094_robustness.json,0.9546771236265909,0.9433464045332386,0.00048207752048300346,0.009994545951485634,8.604261303446492e-09,1.0,198.96791076660156
2.826,0.30296730565887425,8.970176092434194,0.8581835229830705,0.6949044016606025,4.979563309299567,93.1995,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_2.826000\checkpoints\iter_000150.pt,1.2068155324159022,0.9339527318684891,0.008270458706716737,0.8714448176990675,158.0,runs\runtime\gamma_1.570796\alpha_2.826000\plans\iter_000150_control_plan.npz,180.0,1.5707963267948966,8,150,"{'sigma_1p0': {'average_fidelity': 0.8944265478874105, 'average_gate_fidelity': 0.8680331848592633, 'fidelity_variance': 0.0008214967365903874, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_2.826000\robustness\iter_000150_robustness.json,0.8944265478874105,0.8680331848592633,0.0008214967365903874,0.009953479282557964,8.90096052419409e-10,1.0,222.2436065673828
2.983,0.25540275052494865,8.793214794347353,0.8713399719646492,0.6951211763468895,4.586665405388552,86.1695,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_2.983000\checkpoints\iter_000150.pt,1.3481443531390387,0.9212635057587495,0.0076519014739140365,0.5317493532014054,154.0,runs\runtime\gamma_1.570796\alpha_2.983000\plans\iter_000150_control_plan.npz,180.0,1.5707963267948966,8,150,"{'sigma_1p0': {'average_fidelity': 0.8871738474693434, 'average_gate_fidelity': 0.8589673093366792, 'fidelity_variance': 0.0009530598831743732, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_2.983000\robustness\iter_000150_robustness.json,0.8871738474693434,0.8589673093366792,0.0009530598831743732,0.009915648028254509,-9.833441616535765e-09,1.0,187.73486328125
3.14,0.203995063691209,8.614825043631674,0.8842613225381512,0.6953443205321975,4.188795393428692,87.2925,0.2999999999999999,180.0,runs\runtime\gamma_1.570796\alpha_3.140000\checkpoints\iter_000150.pt,1.1071389736716795,0.9400434423912383,0.007879480806086673,0.43204559939789233,152.0,runs\runtime\gamma_1.570796\alpha_3.140000\plans\iter_000150_control_plan.npz,180.0,1.5707963267948966,8,150,"{'sigma_1p0': {'average_fidelity': 0.9019509009714334, 'average_gate_fidelity': 0.8774386262142919, 'fidelity_variance': 0.0010463627656222931, 'num_samples': 60, 'sigma_mhz': 1.0}}",runs\runtime\gamma_1.570796\alpha_3.140000\robustness\iter_000150_robustness.json,0.9019509009714334,0.8774386262142919,0.0010463627656222931,0.00997154787182808,-1.2079874878168084e-09,1.0,189.99246215820312
