mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns,robustness_sigma_1p0_average_fidelity
trpo,a-2p2_ba3552fe,2,runs\cost_function_sweep\trpo\a-2p2_ba3552fe\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.1,64-32-32,0.486834381204567,0.486834381204567,0.964055913091058,0.0002206554437854,180.0,0.9216099037268054
trpo,a-2p2_9f9fdee6,1,runs\cost_function_sweep\trpo\a-2p2_9f9fdee6\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.2,64-32-32,0.7815230221906723,0.7815230221906723,0.9671751721568312,0.0003916414308402,180.0,0.9202775069913781
trpo,a-2p2_9f9fdee6,2,runs\cost_function_sweep\trpo\a-2p2_9f9fdee6\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.2,64-32-32,0.7820991695215509,0.7820991695215509,0.9680547295644764,0.000248744518601,180.0,0.9220224806475426
trpo,a-2p2_131be558,1,runs\cost_function_sweep\trpo\a-2p2_131be558\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.4,64-32-32,1.3752533664446738,1.3752533664446738,0.9678814747571292,0.0003899055177893,180.0,0.9207107986410723
trpo,a-2p2_131be558,2,runs\cost_function_sweep\trpo\a-2p2_131be558\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.4,64-32-32,1.373957552440722,1.373957552440722,0.9687963855895788,0.0002535317612888,180.0,0.9224679516568556
trpo,a-2p2_282ae2d7,1,runs\cost_function_sweep\trpo\a-2p2_282ae2d7\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.05,64-32-32,0.4649509605862066,0.4649509605862066,0.9706765548742752,0.0005197095998618,180.0,0.9252179527200197
trpo,a-2p2_282ae2d7,2,runs\cost_function_sweep\trpo\a-2p2_282ae2d7\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.05,64-32-32,0.2284765447019556,0.2284765447019556,0.9957458279837476,0.0002111033795435,180.0,0.9257873311572582
trpo,a-2p2_44e29666,1,runs\cost_function_sweep\trpo\a-2p2_44e29666\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.1,64-32-32,0.3947652157888098,0.3947652157888098,0.9953637769507738,0.0002871674759724,180.0,0.9237857643721384
trpo,a-2p2_44e29666,2,runs\cost_function_sweep\trpo\a-2p2_44e29666\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.1,64-32-32,0.3788308500838334,0.3788308500838334,0.9957348794691492,0.0002116361017222,180.0,0.9256390445477621
trpo,a-2p2_bee7464c,1,runs\cost_function_sweep\trpo\a-2p2_bee7464c\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.2,64-32-32,0.6940102647387553,0.6940102647387553,0.9954746495104988,0.0002873303505389,180.0,0.9236577559393144
