iteration,eval_cost,eval_fidelity,eval_leakage,eval_time_ns,eval_min_cost_time_ns
93,0.395356899720514,0.986288840834411,0.00125557747897,94,94.0
94,0.391249377301125,0.9890446408573371,0.0012553899399650001,92,92.0
95,0.386992240041223,0.9855113116529691,0.001279746158864,94,94.0
96,0.379617485427919,0.9876742324849971,0.0012800488093810001,94,94.0
97,0.38987357810730006,0.9860643071420531,0.0012320964810940002,94,94.0
98,0.38552633419487803,0.9868441496485291,0.0012573464213340001,94,94.0
99,0.39386795577353,0.9860610081636331,0.001280208830666,94,94.0
100,0.38542384719529704,0.9855639575501011,0.001296611294536,96,96.0
101,0.576042991670326,0.9846334697880591,0.0023001073839760003,180,144.0
102,0.614293022432812,0.978573359819468,0.002360299675364,180,144.0
103,0.693174241072949,0.9707716957348701,0.0024305740365600003,180,144.0
104,0.6116434969563771,0.9784866110490341,0.002378280815764,180,144.0
105,0.445074915758552,0.9929476585493661,0.0022834845664820003,180,144.0
106,0.49593300164130405,0.9887558915667031,0.0023591630518790003,180,144.0
107,0.399288160276669,0.996124218287676,0.002253372386092,180,134.0
108,0.380157371742664,0.9974466793188351,0.002288381032388,180,144.0
109,0.298712226889359,0.9952444552984301,0.0017012449589070002,124,124.0
110,0.386714977205916,0.9971030693214841,0.002310095277097,180,136.0
111,0.298200384494671,0.9941508785718651,0.0015994941234000002,116,116.0
112,0.29984315129111805,0.994630215143748,0.0018450787322850002,128,128.0
113,0.42230966495035305,0.9932106919954441,0.0027683456582140004,180,154.0
114,0.405656082777884,0.9950038350106261,0.002569450962205,180,146.0
115,0.402573711287021,0.9963292810327641,0.0023378893932420003,180,136.0
