mode,config_id,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,num_runs,primary_metric_mean,primary_metric_min,primary_metric_max,primary_metric_std,best_eval_cost_mean,best_eval_cost_min,best_eval_cost_max,best_eval_cost_std,best_eval_fidelity_mean,best_eval_fidelity_min,best_eval_fidelity_max,best_eval_fidelity_std,best_eval_leakage_mean,best_eval_leakage_min,best_eval_leakage_max,best_eval_leakage_std,best_eval_time_ns_mean,best_eval_time_ns_min,best_eval_time_ns_max,best_eval_time_ns_std
trpo,a-2p2_8c31322a,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.05,64-32-32,2,0.20318719295576346,0.18114998397199236,0.22522440193953455,0.022037208983771095,0.20318719295576346,0.18114998397199236,0.22522440193953455,0.022037208983771095,0.9955662846478723,0.9934490743667953,0.9976834949289495,0.0021172102810770865,0.00032314102020311814,0.00024976932719214333,0.00039651271321409294,7.33716930109748e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_520a1971,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.05,64-32-32,2,0.20421500088828937,0.19778234045865362,0.21064766131792512,0.00643266042963575,0.20421500088828937,0.19778234045865362,0.21064766131792512,0.00643266042963575,0.9919687154875688,0.9907268144937268,0.9932106164814108,0.0012419009938420267,0.0004776362748076581,0.0004758134550721042,0.00047945909454321197,1.8228197355538882e-06,180.0,180.0,180.0,0.0
trpo,a-2p2_7dd94fd1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.05,64-32-32,2,0.2531039506243106,0.20502360445262988,0.30118429679599135,0.048080346171680735,0.2531039506243106,0.20502360445262988,0.30118429679599135,0.048080346171680735,0.9957349921529106,0.993690242365621,0.9977797419402002,0.0020447497872896347,0.00031915997400186474,0.0002443570320428286,0.0003939629159609009,7.480294195903617e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_6b6606af,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.05,64-32-32,2,0.32798189067463435,0.29026539509674754,0.3656983862525211,0.03771649557788678,0.32798189067463435,0.29026539509674754,0.3656983862525211,0.03771649557788678,0.99472987458323,0.9935555501974006,0.9959041989690594,0.0011743243858293728,0.00024340265336674215,0.00019768425194652834,0.000289121054786956,4.5718401420213826e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_c345a8a2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.05,64-32-32,2,0.337115914219556,0.33707646340227637,0.33715536503683563,3.945081727962929e-05,0.337115914219556,0.33707646340227637,0.33715536503683563,3.945081727962929e-05,0.9652666625835603,0.9640138192003445,0.9665195059667762,0.0012528433832158514,0.0003066011699053211,0.0002200497276408491,0.00039315261216979307,8.655144226447198e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_282ae2d7,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.05,64-32-32,2,0.3467137526440811,0.2284765447019556,0.46495096058620666,0.11823720794212553,0.3467137526440811,0.2284765447019556,0.46495096058620666,0.11823720794212553,0.9832111914290114,0.9706765548742753,0.9957458279837476,0.012534636554736134,0.0003654064897026597,0.000211103379543517,0.0005197095998618024,0.00015430311015914272,180.0,180.0,180.0,0.0
trpo,a-2p2_470b266b,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,2,0.35327640448013187,0.33138914608321607,0.3751636628770477,0.021887258396915826,0.35327640448013187,0.33138914608321607,0.3751636628770477,0.021887258396915826,0.9955581391484953,0.9934474906997544,0.9976687875972363,0.0021106484487409816,0.00032337381664019867,0.00025012018649205183,0.00039662744678834545,7.325363014814681e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_5dfdc91c,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.1,64-32-32,2,0.35972626962525,0.3440775856414925,0.37537495360900747,0.01564868398375749,0.35972626962525,0.3440775856414925,0.37537495360900747,0.01564868398375749,0.9911226569017906,0.9892442786206685,0.9930010351829126,0.0018783782811220284,0.0003365028128110249,0.00026089065861755503,0.0004121149670044947,7.561215419346983e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_44e29666,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.1,64-32-32,2,0.38679803293632165,0.37883085008383344,0.39476521578880985,0.007967182852488208,0.38679803293632165,0.37883085008383344,0.39476521578880985,0.007967182852488208,0.9955493282099616,0.9953637769507738,0.9957348794691493,0.00018555125918773285,0.00024940178884738054,0.000211636101722275,0.00028716747597248604,3.776568712510553e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_d1976a7c,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.1,64-32-32,2,0.4030684146878466,0.35509391493272385,0.45104291444296934,0.047974499755122746,0.4030684146878466,0.35509391493272385,0.45104291444296934,0.047974499755122746,0.9957303815759024,0.993685873141696,0.9977748900101089,0.002044508434206449,0.00031928030839847724,0.0002444898189816833,0.0003940707978152712,7.479048941679396e-05,180.0,180.0,180.0,0.0
