horizon_ns,optimizer_cost,nominal_cost,nominal_fidelity,nominal_leakage,nominal_leakage_boundary,nominal_leakage_integral,nominal_boundary_cost,nominal_time_cost,nominal_time_ns
40.0,3.6716287935373577,3.2147335565428024,0.7255361814879608,0.00042811297251058543,6.713325924048754e-05,0.00036097971327009787,0.39914757503063786,0.06666666666666667,40.0
50.0,2.5754641240393714,1.62516378265671,0.8818353565020522,0.00034979222746451985,3.850527890999812e-05,0.00031128694855452174,0.3566860920692541,0.08333333333333334,50.0
60.0,1.9690290848199021,0.38063865817222853,0.9820504068885064,0.00036702764098077466,2.3049979173682914e-05,0.00034397766180709174,0.09747245064748501,0.1,60.0
70.0,2.2038899139276356,0.15757516180133957,0.9966196279490417,0.0002824037569533796,2.0843177999595864e-05,0.00026156057895378377,0.00428073705555595,0.11666666666666668,70.0
80.0,2.439383303603359,0.24242813466035965,0.9907281799796491,0.0001690375005285734,1.9791103293898345e-05,0.00014924639723467505,0.01468622611823183,0.13333333333333333,80.0
90.0,2.830707535477966,0.2055942619384842,0.9955162782794031,0.00016147802479029203,1.9680268015356963e-05,0.00014179775677493507,0.009142264484612703,0.15000000000000002,90.0
100.0,3.227033811595745,0.25450039841351046,0.9921056581485395,0.00018165815745442449,3.054426252124592e-05,0.00015111389493317856,0.00707373165769416,0.16666666666666669,100.0
110.0,3.619669819401228,0.2963810700856191,0.9914042062385217,0.00010128684170535521,1.5080862300351262e-05,8.620597940500395e-05,0.02607693072044878,0.18333333333333335,110.0
120.0,4.21649103106764,0.33460056115579806,0.9902287794749688,9.402529969923781e-05,1.5081848999068514e-05,7.894345070016929e-05,0.03594810290849353,0.2,120.0
130.0,4.335489071659822,0.3448132452924869,0.9936034533898129,8.13001210026144e-05,1.663933444365214e-05,6.466078655896227e-05,0.06336811131392338,0.21666666666666667,130.0
140.0,4.854475152145735,0.5551921242093926,0.9730400784567976,7.108885564974522e-05,1.418523651036418e-05,5.690361913938105e-05,0.05154868688753797,0.23333333333333336,140.0
150.0,5.241296132236689,0.2850629980606206,0.9970831039982396,6.816018166600158e-05,1.4466081479471675e-05,5.3694100186529894e-05,0.005212436226356824,0.25,150.0
160.0,5.744134906645276,0.6882155001947259,0.9602722031574856,0.00011903662371694443,2.3418296840633215e-05,9.561832687631122e-05,0.023080498865746,0.26666666666666666,160.0
170.0,6.034563762782043,0.5195091126340098,0.9778278296805799,0.00013767920050609763,1.1302957725279988e-05,0.00012637624278081765,0.013077284101414491,0.2833333333333334,170.0
180.0,6.424567731510534,0.410248229876098,0.9896186226868879,9.933681070872968e-05,1.9177780949918905e-05,8.015902975881077e-05,0.005441088637890069,0.30000000000000004,180.0
